,Location_difference,Frame
1,30.33,1
2,30.815,2
3,30.857,3
4,31.467,4
5,32.335,5
6,32.867,6
7,33.372,7
8,34.741,8
9,34.918,9
10,34.737,10
11,34.646,11
12,34.19,12
13,33.323,13
14,32.582,14
15,31.381,15
16,29.517,16
17,29.084,17
18,30.947,18
19,31.314,19
20,30.133,20
21,29.799,21
22,30.62,22
23,31.379,23
24,31.607,24
25,30.799,25
26,31.512,26
27,33.686,27
28,33.881,28
29,33.544,29
30,31.205,30
31,30.77,31
32,34.029,32
33,32.394,33
34,31.378,34
35,30.894,35
36,30.355,36
37,31.265,37
38,31.327,38
39,32.241,39
40,32.47,40
41,30.732,41
42,31.323,42
43,32.228,43
44,31.39,44
45,32.291,45
46,28.993,46
47,30.964,47
48,29.469,48
49,30.029,49
50,30.187,50
51,30.411,51
52,28.358,52
53,27.3,53
54,29.327,54
55,30.747,55
56,29.597,56
57,28.892,57
58,29.174,58
59,28.322,59
60,29.763,60
61,29.564,61
62,30.301,62
63,30.222,63
64,29.325,64
65,30.416,65
66,30.813,66
67,30.771,67
68,30.877,68
69,29.72,69
70,29.479,70
71,28.602,71
72,27.422,72
73,28.01,73
74,27.305,74
75,27.181,75
76,27.999,76
77,28.136,77
78,27.87,78
79,25.338,79
80,23.285,80
81,21.93,81
82,19.596,82
83,20.167,83
84,20.085,84
85,21.329,85
86,20.522,86
87,23.645,87
88,25.282,88
89,24.008,89
90,22.735,90
91,23.855,91
92,26.045,92
93,26.993,93
94,27.931,94
95,27.382,95
96,27.815,96
97,28.513,97
98,27.55,98
99,27.871,99
100,30.646,100
101,28.924,101
102,28.999,102
103,30.28,103
104,28.901,104
105,29.594,105
106,29.535,106
107,28.937,107
108,29.427,108
109,28.673,109
110,29.055,110
111,25.851,111
112,23.913,112
113,24.449,113
114,26.065,114
115,25.385,115
116,23.877,116
117,24.934,117
118,23.798,118
119,25.684,119
120,22.401,120
121,23.393,121
122,24.271,122
123,24.999,123
124,24.264,124
125,27.68,125
126,28.319,126
127,26.577,127
128,25.018,128
129,24.527,129
130,24.483,130
131,24.656,131
132,26.024,132
133,26.996,133
134,17.912,134
135,18.122,135
136,17.528,136
137,19.103,137
138,21.262,138
139,19.993,139
140,20.383,140
141,21.173,141
142,19.45,142
143,20.51,143
144,19.3,144
145,19.723,145
146,20.638,146
147,20.473,147
148,19.389,148
149,21.416,149
150,20.516,150
151,18.623,151
152,18.964,152
153,20.002,153
154,18.684,154
155,19.747,155
156,18.649,156
157,15.913,157
158,17.315,158
159,17.352,159
160,15.174,160
161,14.618,161
162,14.981,162
163,13.45,163
164,12.903,164
165,13.494,165
166,13.705,166
167,11.259,167
168,12.319,168
169,9.635,169
170,10.479,170
171,12.136,171
172,12.639,172
173,13.835,173
174,13.368,174
175,15.462,175
176,14.121,176
177,16.39,177
178,15.559,178
179,17.282,179
180,16.937,180
181,19.238,181
182,18.906,182
183,17.794,183
184,19.993,184
185,20.116,185
186,21.564,186
187,21.062,187
188,23.366,188
189,25.002,189
190,25.625,190
191,23.982,191
192,25.242,192
193,26.575,193
194,26.744,194
195,26.51,195
196,27.722,196
197,26.894,197
198,26.467,198
199,24.007,199
200,21.3,200
201,21.683,201
202,22.721,202
203,23.807,203
204,27.198,204
205,24.7,205
206,24.099,206
207,20.239,207
208,18.999,208
209,19.945,209
210,19.779,210
211,18.14,211
212,18.458,212
213,21.275,213
214,21.34,214
215,22.543,215
216,23.725,216
217,23.043,217
218,22.54,218
219,21.213,219
220,22.156,220
221,24.446,221
222,26.133,222
223,27.327,223
224,26.43,224
225,26.248,225
226,26.561,226
227,27.002,227
228,27.545,228
229,26.657,229
230,26.061,230
231,25.282,231
232,25.109,232
233,24.402,233
234,24.035,234
235,22.629,235
236,22.495,236
237,22.291,237
238,21.137,238
239,22.658,239
240,21.766,240
241,19.963,241
242,19.52,242
243,18.73,243
